pattern_index	pattern	description	quality	upper_bound	dossiers_voted
0	[['11'], [1984.0, 1992.0]]	[['Horror'], [1984.0, 1992.0]]	0.08122717766231614	0.15989106891863425	"[('Amityville Curse, The (1990)', 1), ('Cronos (1992)', 1), ('Alien 3 (1992)', 1), ('Braindead (1992)', 1), (""Amityville 1992: It's About Time (1992)"", 1), ('Candyman (1992)', 1), ('Body Parts (1991)', 1), (""April Fool's Day (1986)"", 1), (""Bram Stoker's Dracula (1992)"", 1), ('Nightmare on Elm Street, A (1984)', 1), ('Nosferatu a Venezia (1986)', 1), ('Believers, The (1987)', 1), ('Evil Dead II (1987)', 1), ('Bad Taste (1987)', 1)]"
1	[['11'], [1983.0, 1992.0]]	[['Horror'], [1983.0, 1992.0]]	0.08021705123854704	0.16189070751815732	"[('Amityville Curse, The (1990)', 1), ('Cronos (1992)', 1), ('Alien 3 (1992)', 1), ('Braindead (1992)', 1), (""Amityville 1992: It's About Time (1992)"", 1), ('Candyman (1992)', 1), ('Body Parts (1991)', 1), (""April Fool's Day (1986)"", 1), (""Bram Stoker's Dracula (1992)"", 1), ('Nightmare on Elm Street, A (1984)', 1), ('Nosferatu a Venezia (1986)', 1), ('Believers, The (1987)', 1), ('Jaws 3-D (1983)', 1), ('Evil Dead II (1987)', 1), ('Amityville 3-D (1983)', 1), ('Bad Taste (1987)', 1)]"
2	[['4'], [1997.0, 1997.0]]	[['Children'], [1997.0, 1997.0]]	0.07997628712678459	0.25839774796569753	"[('That Darn Cat! (1997)', 2), ('Second Jungle Book: Mowgli & Baloo, The (1997)', 1), ('Simple Wish, A (1997)', 1), (""Cats Don't Dance (1997)"", 1), ('Hercules (1997)', 1), ('Flubber (1997)', 1), ('FairyTale: A True Story (1997)', 1), ('Jungle2Jungle (1997)', 1), ('Wild America (1997)', 1), ('Home Alone 3 (1997)', 1), ('Mouse Hunt (1997)', 1), ('Turbo: A Power Rangers Movie (1997)', 1), ('3 Ninjas: High Noon At Mega Mountain (1998)', 1), ('Anastasia (1997)', 1), ('Free Willy 3: The Rescue (1997)', 1), ('Warriors of Virtue (1997)', 1), ('George of the Jungle (1997)', 1), ('Buddy (1997)', 1), ('Zeus and Roxanne (1997)', 1), ('Air Bud (1997)', 1), ('Shiloh (1997)', 1)]"
3	[['4'], [1997.0, 1998.0]]	[['Children'], [1997.0, 1998.0]]	0.0798936764075998	0.25839774796569753	"[('That Darn Cat! (1997)', 2), (""Cats Don't Dance (1997)"", 1), ('Hercules (1997)', 1), ('Flubber (1997)', 1), ('Mouse Hunt (1997)', 1), ('3 Ninjas: High Noon At Mega Mountain (1998)', 1), ('Warriors of Virtue (1997)', 1), ('George of the Jungle (1997)', 1), ('Shiloh (1997)', 1), ('Second Jungle Book: Mowgli & Baloo, The (1997)', 1), ('Simple Wish, A (1997)', 1), ('Zeus and Roxanne (1997)', 1), ('FairyTale: A True Story (1997)', 1), ('Jungle2Jungle (1997)', 1), ('Wild America (1997)', 1), ('Home Alone 3 (1997)', 1), ('Turbo: A Power Rangers Movie (1997)', 1), ('Anastasia (1997)', 1), ('Free Willy 3: The Rescue (1997)', 1), ('Buddy (1997)', 1), ('Star Kid (1997)', 1), ('Air Bud (1997)', 1)]"
4	[['11'], [1982.0, 1992.0]]	[['Horror'], [1982.0, 1992.0]]	0.07921508073091123	0.17553366495450012	"[('Amityville Curse, The (1990)', 1), ('Cronos (1992)', 1), ('Alien 3 (1992)', 1), ('Braindead (1992)', 1), (""Amityville 1992: It's About Time (1992)"", 1), ('Candyman (1992)', 1), ('Body Parts (1991)', 1), (""April Fool's Day (1986)"", 1), ('Jaws 3-D (1983)', 1), (""Bram Stoker's Dracula (1992)"", 1), ('Amityville II: The Possession (1982)', 1), ('Nightmare on Elm Street, A (1984)', 1), ('Nosferatu a Venezia (1986)', 1), ('Believers, The (1987)', 1), ('Cat People (1982)', 1), ('Evil Dead II (1987)', 1), ('Amityville 3-D (1983)', 1), ('Bad Taste (1987)', 1)]"
5	[['11'], [1984.0, 1995.0]]	[['Horror'], [1984.0, 1995.0]]	0.07830782256994798	0.299389603980155	"[('Body Snatchers (1993)', 2), ('Candyman: Farewell to the Flesh (1995)', 1), (""Stephen King's The Langoliers (1995)"", 1), (""Amityville 1992: It's About Time (1992)"", 1), ('Dracula: Dead and Loving It (1995)', 1), ('Army of Darkness (1993)', 1), ('Serial Mom (1994)', 1), ('Alien 3 (1992)', 1), ('Braindead (1992)', 1), ('Cronos (1992)', 1), ('Candyman (1992)', 1), ('Village of the Damned (1995)', 1), ('In the Mouth of Madness (1995)', 1), (""Bram Stoker's Dracula (1992)"", 1), ('Nightmare on Elm Street, A (1984)', 1), ('Tales from the Hood (1995)', 1), ('Amityville: A New Generation (1993)', 1), ('Nosferatu a Venezia (1986)', 1), ('Addiction, The (1995)', 1), (""Mary Shelley's Frankenstein (1994)"", 1), (""April Fool's Day (1986)"", 1), ('Bad Taste (1987)', 1), ('Beyond Bedlam (1993)', 1), (""Wes Craven's New Nightmare (1994)"", 1), ('Amityville Curse, The (1990)', 1), ('Interview with the Vampire (1994)', 1), ('Fear, The (1995)', 1), ('Halloween: The Curse of Michael Myers (1995)', 1), ('Tales From the Crypt Presents: Demon Knight (1995)', 1), ('Relative Fear (1994)', 1), ('Prophecy, The (1995)', 1), ('Loch Ness (1995)', 1), ('Lord of Illusions (1995)', 1), ('Machine, The (1994)', 1), ('Body Parts (1991)', 1), ('Wolf (1994)', 1), ('Believers, The (1987)', 1), ('Evil Dead II (1987)', 1), ('Castle Freak (1995)', 1), (""Robert A. Heinlein's The Puppet Masters (1994)"", 1)]"
6	[['11'], [1983.0, 1995.0]]	[['Horror'], [1983.0, 1995.0]]	0.07793188065010204	0.2994753378621852	"[('Body Snatchers (1993)', 2), ('Candyman: Farewell to the Flesh (1995)', 1), (""Stephen King's The Langoliers (1995)"", 1), ('Cronos (1992)', 1), ('Dracula: Dead and Loving It (1995)', 1), ('Army of Darkness (1993)', 1), ('Serial Mom (1994)', 1), ('Alien 3 (1992)', 1), ('Braindead (1992)', 1), (""Amityville 1992: It's About Time (1992)"", 1), ('Candyman (1992)', 1), ('Village of the Damned (1995)', 1), ('In the Mouth of Madness (1995)', 1), (""Bram Stoker's Dracula (1992)"", 1), ('Nightmare on Elm Street, A (1984)', 1), ('Tales from the Hood (1995)', 1), ('Amityville: A New Generation (1993)', 1), ('Nosferatu a Venezia (1986)', 1), ('Addiction, The (1995)', 1), (""Mary Shelley's Frankenstein (1994)"", 1), (""April Fool's Day (1986)"", 1), ('Bad Taste (1987)', 1), ('Beyond Bedlam (1993)', 1), (""Wes Craven's New Nightmare (1994)"", 1), ('Amityville Curse, The (1990)', 1), ('Interview with the Vampire (1994)', 1), ('Fear, The (1995)', 1), ('Halloween: The Curse of Michael Myers (1995)', 1), ('Tales From the Crypt Presents: Demon Knight (1995)', 1), ('Relative Fear (1994)', 1), ('Prophecy, The (1995)', 1), ('Loch Ness (1995)', 1), ('Lord of Illusions (1995)', 1), ('Castle Freak (1995)', 1), ('Machine, The (1994)', 1), ('Body Parts (1991)', 1), ('Wolf (1994)', 1), ('Believers, The (1987)', 1), ('Jaws 3-D (1983)', 1), ('Evil Dead II (1987)', 1), ('Amityville 3-D (1983)', 1), (""Robert A. Heinlein's The Puppet Masters (1994)"", 1)]"
7	[['11'], [1984.0, 1993.0]]	[['Horror'], [1984.0, 1993.0]]	0.07779195718939616	0.2043437638106362	"[('Body Snatchers (1993)', 2), ('Amityville Curse, The (1990)', 1), ('Cronos (1992)', 1), ('Beyond Bedlam (1993)', 1), ('Alien 3 (1992)', 1), ('Braindead (1992)', 1), (""Amityville 1992: It's About Time (1992)"", 1), ('Candyman (1992)', 1), ('Body Parts (1991)', 1), (""April Fool's Day (1986)"", 1), (""Bram Stoker's Dracula (1992)"", 1), ('Nightmare on Elm Street, A (1984)', 1), ('Amityville: A New Generation (1993)', 1), ('Nosferatu a Venezia (1986)', 1), ('Believers, The (1987)', 1), ('Evil Dead II (1987)', 1), ('Bad Taste (1987)', 1), ('Army of Darkness (1993)', 1)]"
8	[['11'], [1982.0, 1995.0]]	[['Horror'], [1982.0, 1995.0]]	0.07768647354206598	0.3051822715149383	"[('Body Snatchers (1993)', 2), ('Dracula: Dead and Loving It (1995)', 1), ('Tales from the Hood (1995)', 1), ('Serial Mom (1994)', 1), ('Alien 3 (1992)', 1), ('Braindead (1992)', 1), ('Cronos (1992)', 1), ('Candyman (1992)', 1), ('In the Mouth of Madness (1995)', 1), ('Nightmare on Elm Street, A (1984)', 1), ('Amityville: A New Generation (1993)', 1), ('Nosferatu a Venezia (1986)', 1), (""Mary Shelley's Frankenstein (1994)"", 1), ('Prophecy, The (1995)', 1), ('Bad Taste (1987)', 1), ('Amityville Curse, The (1990)', 1), ('Interview with the Vampire (1994)', 1), ('Fear, The (1995)', 1), ('Machine, The (1994)', 1), (""Wes Craven's New Nightmare (1994)"", 1), ('Wolf (1994)', 1), ('Loch Ness (1995)', 1), ('Tales From the Crypt Presents: Demon Knight (1995)', 1), ('Village of the Damned (1995)', 1), ('Jaws 3-D (1983)', 1), ('Castle Freak (1995)', 1), ('Candyman: Farewell to the Flesh (1995)', 1), (""Amityville 1992: It's About Time (1992)"", 1), ('Army of Darkness (1993)', 1), (""Bram Stoker's Dracula (1992)"", 1), (""April Fool's Day (1986)"", 1), ('Halloween: The Curse of Michael Myers (1995)', 1), ('Evil Dead II (1987)', 1), ('Beyond Bedlam (1993)', 1), ('Addiction, The (1995)', 1), (""Stephen King's The Langoliers (1995)"", 1), ('Lord of Illusions (1995)', 1), ('Amityville II: The Possession (1982)', 1), ('Relative Fear (1994)', 1), ('Body Parts (1991)', 1), ('Believers, The (1987)', 1), ('Cat People (1982)', 1), ('Amityville 3-D (1983)', 1), (""Robert A. Heinlein's The Puppet Masters (1994)"", 1)]"
9	[['11'], [1983.0, 1993.0]]	[['Horror'], [1983.0, 1993.0]]	0.07696619537194992	0.20529908421040105	"[('Body Snatchers (1993)', 2), ('Amityville Curse, The (1990)', 1), ('Cronos (1992)', 1), ('Beyond Bedlam (1993)', 1), ('Alien 3 (1992)', 1), ('Braindead (1992)', 1), (""Amityville 1992: It's About Time (1992)"", 1), ('Candyman (1992)', 1), ('Body Parts (1991)', 1), (""April Fool's Day (1986)"", 1), (""Bram Stoker's Dracula (1992)"", 1), ('Nightmare on Elm Street, A (1984)', 1), ('Amityville: A New Generation (1993)', 1), ('Nosferatu a Venezia (1986)', 1), ('Believers, The (1987)', 1), ('Jaws 3-D (1983)', 1), ('Evil Dead II (1987)', 1), ('Amityville 3-D (1983)', 1), ('Bad Taste (1987)', 1), ('Army of Darkness (1993)', 1)]"
