pattern_index	pattern	description	quality	upper_bound	dossiers_voted
0	[['3.40', '4.15.05', '8.70.54'], [0.0, 2.0]]	[['Industrial policy', 'Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)', '2014 budget'], [0.0, 2.0]]	0.2622415346258246	0.2622415346258246	[('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Greece', 3), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the metal products sector in Spain', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the jewellery sector in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the food manufacturing sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of electrical equipment sector in Italy', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in the automotive sector in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the shipbuilding sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive sector in France', 1)]
1	[['3.40', '4.15.05', '8.70.54'], [0.0, 1.0]]	[['Industrial policy', 'Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)', '2014 budget'], [0.0, 1.0]]	0.2622415346258246	0.2622415346258246	[('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Greece', 3), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the metal products sector in Spain', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the jewellery sector in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the food manufacturing sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the shipbuilding sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive sector in France', 1)]
2	[['4.15.05', '8.70'], [14.0, 20.0]]	[['Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)', 'Budget of the Union'], [14.0, 20.0]]	0.2622415346258246	0.2622415346258246	[('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Greece', 3), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacturing of machinery in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the road haulage sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the glass sector in Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in\xc2\xa0aircraft\xc2\xa0repair and installation services in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in\xc2\xa0the\xc2\xa0ICT sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in\xc2\xa0the manufacture of commercial vehicles in Sweden', 1), ('Mobilisation of the European Globalisation Adjustment Fund: technical assistance\xc2\xa0by the Commission in 2016', 1)]
3	[['3.40', '4.15.05', '8.70'], [0.0, 9.0]]	[['Industrial policy', 'Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)', 'Budget of the Union'], [0.0, 9.0]]	0.260200718299294	0.2622415346258246	[('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Greece', 3), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacturing of machinery in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the metal products sector in Spain', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the jewellery sector in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in\xc2\xa0Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in the automotive sector in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the food manufacturing sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of\xc2\xa0safety\xc2\xa0glass for the automotive industry\xc2\xa0in Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the electronics industry in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of electrical equipment sector in Italy', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in transport services in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in aircraft repair and installation services in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the chemical industry in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the solar module producing in Germany', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the shipbuilding sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive sector in France', 1)]
4	[['3.40', '4.15.05', '8.70'], [0.0, 6.0]]	[['Industrial policy', 'Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)', 'Budget of the Union'], [0.0, 6.0]]	0.26009330691368704	0.2622415346258246	[('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Greece', 3), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacturing of machinery in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the metal products sector in Spain', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the jewellery sector in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in\xc2\xa0Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in the automotive sector in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the food manufacturing sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of\xc2\xa0safety\xc2\xa0glass for the automotive industry\xc2\xa0in Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of electrical equipment sector in Italy', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in transport services in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in aircraft repair and installation services in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the chemical industry in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the solar module producing in Germany', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the shipbuilding sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive sector in France', 1)]
5	[['3.40', '4.15.05', '8.70'], [0.0, 5.0]]	[['Industrial policy', 'Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)', 'Budget of the Union'], [0.0, 5.0]]	0.2599739609296794	0.2622415346258246	[('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Greece', 3), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacturing of machinery in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the metal products sector in Spain', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the jewellery sector in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in\xc2\xa0Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in the automotive sector in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the food manufacturing sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of\xc2\xa0safety\xc2\xa0glass for the automotive industry\xc2\xa0in Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of electrical equipment sector in Italy', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the solar module producing in Germany', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in aircraft repair and installation services in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the chemical industry in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the shipbuilding sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive sector in France', 1)]
6	[['3.40', '4.15.05', '8.70'], [1.0, 9.0]]	[['Industrial policy', 'Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)', 'Budget of the Union'], [1.0, 9.0]]	0.2596905142176613	0.2622415346258246	[('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Greece', 3), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacturing of machinery in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the food manufacturing sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the jewellery sector in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the shipbuilding sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in the automotive sector in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of electrical equipment sector in Italy', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of\xc2\xa0safety\xc2\xa0glass for the automotive industry\xc2\xa0in Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the electronics industry in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in transport services in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the chemical industry in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the solar module producing in Germany', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in\xc2\xa0Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in aircraft repair and installation services in Ireland', 1)]
7	[['3.40', '4.15.05', '8.70'], [1.0, 6.0]]	[['Industrial policy', 'Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)', 'Budget of the Union'], [1.0, 6.0]]	0.2595204461904504	0.2622415346258246	[('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Greece', 3), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacturing of machinery in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the food manufacturing sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the jewellery sector in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the solar module producing in Germany', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in the automotive sector in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of\xc2\xa0safety\xc2\xa0glass for the automotive industry\xc2\xa0in Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of electrical equipment sector in Italy', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in transport services in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the chemical industry in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in\xc2\xa0Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the shipbuilding sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in aircraft repair and installation services in Ireland', 1)]
8	[['3.40', '4.15.05', '8.70'], [0.0, 20.0]]	[['Industrial policy', 'Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)', 'Budget of the Union'], [0.0, 20.0]]	0.25942661555474783	0.26304707510482095	[('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Greece', 3), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacturing of machinery in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the food manufacturing sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the electronics industry in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the glass sector in Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in the automotive sector in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in\xc2\xa0aircraft\xc2\xa0repair and installation services in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the solar module producing in Germany', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in\xc2\xa0the manufacture of commercial vehicles in Sweden', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in\xc2\xa0Germany', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the metal products sector in Spain', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the jewellery sector in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the shipbuilding sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of electrical equipment sector in Italy', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of\xc2\xa0safety\xc2\xa0glass for the automotive industry\xc2\xa0in Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the road haulage sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in aircraft repair and installation services in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the chemical industry in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in transport services in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in\xc2\xa0the\xc2\xa0ICT sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in\xc2\xa0Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive sector in France', 1)]
9	[['3.40', '4.15.05', '8.70'], [1.0, 5.0]]	[['Industrial policy', 'Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)', 'Budget of the Union'], [1.0, 5.0]]	0.2593260827307808	0.2622415346258246	[('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Greece', 3), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacturing of machinery in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the food manufacturing sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the jewellery sector in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the solar module producing in Germany', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in the automotive sector in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of\xc2\xa0safety\xc2\xa0glass for the automotive industry\xc2\xa0in Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of electrical equipment sector in Italy', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the chemical industry in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in\xc2\xa0Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the shipbuilding sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in aircraft repair and installation services in Ireland', 1)]
