pattern_index	pattern	description	quality	upper_bound	dossiers_voted
0	[['3.40.16', '6.10.05', '6.20.02', '6.30'], [7.0, 7.0], ['INTA'], ['ALDE'], ['S&D']]	[['Raw materials', 'Peace preservation, humanitarian and rescue tasks, crisis management', 'Export/import control, trade defence', 'Development cooperation'], [7.0, 7.0], ['INTA'], ['ALDE'], ['S&D']]	0.7695613949399238	0.8385269121813032	[('Union system for supply chain due diligence self-certification of responsible importers of tin, tantalum and tungsten, their ores, and gold originating in conflict-affected and high-risk areas', 29)]
1	[['3.40', '4.15.05', '8.70'], [0.0, 20.0], ['BUDG'], ['ECR'], ['PPE']]	[['Industrial policy', 'Industrial restructuring, job losses, redundancies, relocations, Globalisation Adjustment Fund (EGF)', 'Budget of the Union'], [0.0, 20.0], ['BUDG'], ['ECR'], ['PPE']]	0.6438688789963577	0.6438688789963577	[('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Greece', 3), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacturing of machinery in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in Belgium', 2), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the food manufacturing sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the electronics industry in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the glass sector in Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in the automotive sector in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in\xc2\xa0aircraft\xc2\xa0repair and installation services in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the solar module producing in Germany', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in\xc2\xa0the manufacture of commercial vehicles in Sweden', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in\xc2\xa0Germany', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the metal products sector in Spain', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the jewellery sector in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the shipbuilding sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of electrical equipment sector in Italy', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the manufacture of\xc2\xa0safety\xc2\xa0glass for the automotive industry\xc2\xa0in Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the road haulage sector in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies\xc2\xa0in aircraft repair and installation services in Ireland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the chemical industry in Poland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in transport services in France', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in\xc2\xa0the\xc2\xa0ICT sector in Finland', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the steel sector in\xc2\xa0Belgium', 1), ('Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive sector in France', 1)]
2	[['7.10.06'], [11.0, 11.0], ['LIBE'], ['ECR'], ['PPE']]	[['Asylum, refugees, displaced persons; Asylum, Migration and Integration Fund (AMIF)'], [11.0, 11.0], ['LIBE'], ['ECR'], ['PPE']]	0.6438688789963577	0.6438688789963577	[('International protection: provisional measures for the benefit of Italy and Greece', 17)]
3	[['6.20'], [8.0, 9.0], ['INTA'], ['ALDE'], ['Verts/ALE']]	[['Common commercial policy in general'], [8.0, 9.0], ['INTA'], ['ALDE'], ['Verts/ALE']]	0.6152721570214488	0.6527721570214488	[('Recommendations to the European Commission on the negotiations for the Transatlantic Trade and Investment Partnership (TTIP)', 78), ('Strategy for the protection and enforcement of intellectual property rights in third countries', 1), ('External impact of EU trade and investment policy on public-private initiatives in countries outside the EU', 1)]
4	[['3.10'], [20.0, 20.0], ['AGRI'], ['ALDE'], ['Verts/ALE']]	[['Agricultural policy and economies'], [20.0, 20.0], ['AGRI'], ['ALDE'], ['Verts/ALE']]	0.6073176115669033	0.6527721570214488	[('Technological solutions to sustainable agriculture in the EU', 21), ('Enhancing innovation and economic development in future European farm management', 1)]
5	[['3'], [11.0, 12.0], ['ITRE'], ['ALDE'], ['Verts/ALE']]	[['-'], [11.0, 12.0], ['ITRE'], ['ALDE'], ['Verts/ALE']]	0.6001405780740803	0.6527721570214488	[('Open internet access', 13), ('Family businesses in Europe', 5), ('Untapping the potential of research and innovation in the blue economy to create jobs and growth', 1)]
6	[['4.10.04'], [8.0, 11.0], ['FEMM'], ['ALDE'], ['ECR']]	[['Gender equality'], [8.0, 11.0], ['FEMM'], ['ALDE'], ['ECR']]	0.5770942938081748	0.5770942938081748	"[('EU strategy for equality between women and men post 2015', 12), (""Women's careers in science and university and glass ceilings encountered"", 7)]"
7	[['2.50.03', '2.50.08'], [7.0, 20.0], ['ECON'], ['ALDE'], ['GUE/NGL']]	[['Securities and financial markets, stock exchange, CIUTS, investments', 'Financial services, financial reporting and auditing'], [7.0, 20.0], ['ECON'], ['ALDE'], ['GUE/NGL']]	0.5305544314042897	0.5305544314042897	[('Indices used as benchmarks in financial instruments and financial contracts', 10), ('Prudential requirements for credit institutions and investment firms: exemptions for commodity dealers', 1), ('Transparency of securities financing transactions and of reuse', 1), ('Stocktaking and challenges of the EU Financial Services Regulation: impact and the way forward towards a more efficient and effective EU framework for financial regulation and a capital markets union', 1), ('Markets in financial instruments:\xc2\xa0certain dates', 1), ('Markets in financial instruments; market abuse; securities settlement in the EU and central securities depositories: certain dates', 1)]
8	[['3.40', '6.10.02'], [7.0, 20.0], ['AFET'], ['ALDE'], ['GUE/NGL']]	[['Industrial policy', 'Common security and defence policy; WEU, NATO'], [7.0, 20.0], ['AFET'], ['ALDE'], ['GUE/NGL']]	0.5305544314042897	0.5305544314042897	[('Space capabilities for European security and defence', 12), ('Impact of developments in European defence markets on the security and defence capabilities in Europe', 4)]
9	[['6.10.02'], [7.0, 7.0], ['AFET', 'CJ15'], ['ALDE'], ['GUE/NGL']]	[['Common security and defence policy; WEU, NATO'], [7.0, 7.0], ['AFET', 'CJ15'], ['ALDE'], ['GUE/NGL']]	0.5305544314042897	0.5305544314042897	[('Implementation of the Common Security and Defence Policy (based on the Annual Report from the Council to the European Parliament on the Common Foreign and Security Policy)', 17), ('Financing the Common Security and Defence Policy', 9), ('Impact of developments in European defence markets on the security and defence capabilities in Europe', 4)]
10	[['2.50.03', '2.50.08', '2.50.10'], [6.0, 6.0], ['ECON'], ['ALDE'], ['Verts/ALE']]	[['Securities and financial markets, stock exchange, CIUTS, investments', 'Financial services, financial reporting and auditing', 'Financial supervision'], [6.0, 6.0], ['ECON'], ['ALDE'], ['Verts/ALE']]	0.5277721570214488	0.5861054903547821	[('Money Market Funds', 16)]
